price,address,postal_code,bed,full_bath,half_bath,property_area,property_type
299900,2804 - 225 11 AVE SE,T2G 0G3,1.0,1.0,,566.0,condo
359900,13 AUBURN BAY GREEN SE,T3M 0A8,2.0,2.0,1.0,1513.0,house
899999,1723 10 Street SW,T2T 3E9,4.0,3.0,1.0,2177.0,townhouse
259900,315 - 2022 CANYON MEADOWS DR SE,T2J 7H1,2.0,2.0,,1184.0,condo
339750,119 SCENIC ACRES TERR NW,T3L 1Y4,3.0,2.0,1.0,1464.0,house
599900,71 STRATTON HILL RISE SW,T3H 1W8,4.0,3.0,,1915.0,house
638880,371 DISCOVERY PL SW,T3H 4N7,3.0,2.0,1.0,1317.0,house
1750000,3029 7 ST SW,T2T 2X6,5.0,3.0,1.0,3402.0,house
308888,32 ELGIN BAY SE,T2Z 4M9,2.0,1.0,1.0,1119.0,house
399750,415 MIDRIDGE DR SE,T2X 1B1,4.0,1.0,,1094.0,house
1700000,3025 CHAMPLAIN ST SW,T2T 3J7,2.0,2.0,1.0,2287.0,house
600000,216 MT COPPER PK SE,T2Z 2K1,4.0,3.0,1.0,2490.0,house
519900,4615 BRISEBOIS DR NW,T2L 2G3,3.0,2.0,,1273.0,house
799000,39 ASPEN STONE CRES SW,T3H 0L6,5.0,3.0,1.0,2664.0,house
559000,282 PANAMOUNT DR NW,T3K 5L9,5.0,4.0,1.0,2518.0,house
399900,468 MIDRIDGE DR SE,T2X 1B3,3.0,2.0,,1133.0,house
719900,25 SIMCOE BAY SW,T3H 4K7,3.0,3.0,,1635.0,house
329900,3053 30A ST SE,T2B 0S6,3.0,1.0,,809.0,house
495000,5311 WAVERLEY DR SW,T3C 2P6,4.0,2.0,,1052.0,house
389900,412 - 7239 SIERRA MORENA BLVD SW,T3H 3L7,2.0,2.0,1.0,1802.0,condo
888000,63 CHINOOK DR SW,T2V 2P7,4.0,2.0,,1228.0,house
469900,14 - 448 STRATHCONA DR SW,T3H 1M3,4.0,3.0,1.0,1222.0,townhouse
259900,254 NEW BRIGHTON Row SE,T2Z 1B9,2.0,2.0,1.0,1081.0,townhouse
375000,4513 70 ST NW,T3B 2K7,3.0,2.0,,851.0,house
495000,281 EVERRIDGE DR SW,T2Y 5E6,5.0,3.0,1.0,2271.0,house
