postal_code,walk_score,bike_score,transit_score
T2G 0G3,91,92,77
T3M 0A8,36,63,40
T2T 3E9,90,82,66
T2J 7H1,53,68,32
T3L 1Y4,39,61,41
T3H 1W8,29,70,52
T3H 4N7,3,43,33
T2T 2X6,48,77,48
T2Z 4M9,3,41,37
T2X 1B1,54,78,48
T2T 3J7,42,86,47
T2Z 2K1,21,69,33
T2L 2G3,40,70,57
T3H 0L6,49,64,34
T3K 5L9,52,58,55
T2X 1B3,46,75,49
T3H 4K7,25,72,54
T2B 0S6,46,77,46
T3C 2P6,38,81,38
T3H 3L7,63,72,46
T2V 2P7,50,87,61
T3H 1M3,45,71,39
T2Z 1B9,33,71,45
T3B 2K7,36,76,41
T2Y 5E6,32,86,35
T3B 5X3,2,51,27
T2M 0T9,62,87,58
T2R 0V6,93,94,75
T3B 4N9,28,68,33
T2V 0C6,65,79,46
T2W 0K6,63,63,59
T3B 0L6,0,26,26
T2W 0R6,41,63,62
T2Z 4Z2,49,63,44
T2A 2R1,57,55,49
T2C 2C6,25,49,39
T1Y 3Z4,72,77,63
T2M 0S7,79,99,64
T2W 2K3,25,66,55
T3H 4V2,5,48,29
T2Z 2R8,13,61,38
T1Y 6W5,28,62,42
T3H 0V8,25,50,44
T3N 0R6,0,26,18
T3A 5Z8,31,28,40
T3B 4X5,5,48,39
T2Z 2C9,21,58,40
T3R 1L1,53,60,36
T3R 1R4,39,60,40
T3P 1L3,0,30,0
T2M 1E6,69,97,54
T2W 4E5,19,67,34
T3C 1G4,87,90,64
T2P 0C3,93,95,77
T2E 0J9,69,98,63
T2S 2R2,64,78,54
T3E 1Z6,55,79,49
T3B 5P8,14,70,27
T3K 1L7,36,69,54
T2Z 4B3,63,83,48
T3M 0N4,36,65,40
T3L 2M2,21,58,54
T2M 1W1,52,91,58
T2C 5G5,31,72,43
T3K 1R8,15,50,43
T3K 4P4,16,55,37
T2X 1N2,35,65,44
T3B 0R1,60,90,48
T2Z 0R3,9,54,28
T3B 4P4,11,65,49
T2G 5R4,33,87,54
T3B 5T9,12,40,27
T2J 1X3,25,59,29
T3H 3T1,46,59,45
T3E 3G3,58,67,49
T2M 0X5,79,99,60
T2J 3H3,27,71,35
T2Z 3V2,64,85,49
T3R 0W5,25,55,41
T2Z 3R1,11,65,41
T2K 0J7,28,66,41
T2E 0M3,68,76,53
T2S 1H3,68,80,51
T2E 1Y2,77,85,53
T2M 2V9,74,99,58
T2A 1J1,67,62,55
T2X 1K1,22,61,37
T2S 0Y6,28,77,44
T3H 1J8,45,71,39
T3A 5V9,17,24,35
T2K 4L9,37,57,58
T2W 4H4,14,39,30
T3C 2L3,58,81,61
T2A 4H6,43,68,44
T2E 1B2,77,86,52
T3A 0W8,62,85,66
T2X 3V7,30,67,34
T2R 1S4,92,95,74
T1Y 3R8,58,71,47
T2T 6H4,71,77,51
T2T 1V5,37,85,46
T2W 4V2,25,64,39
T3M 0M5,36,60,40
T3N 0C4,6,38,34
T2E 1L9,83,82,56
T3J 3H9,55,76,60
T3C 3H1,32,82,42
T2W 3L3,50,74,35
T3H 0Y7,36,63,44
T2S 2G5,86,98,59
T3L 1T1,53,74,58
T3B 3W5,24,74,35
T2J 2C7,16,68,44
T3H 0P3,43,64,30
T3H 2W3,40,58,46
T2K 0E1,46,76,47
T3A 2M7,61,93,50
T2A 5Z8,53,73,48
T2C 3W9,41,74,48
T3P 0L4,0,30,0
T2T 3T2,85,83,49
T2S 0W7,18,81,52
T3H 0L8,30,57,49
T3B 1C4,52,86,49
T2E 0K6,75,97,65
T3K 1R4,19,50,43
T2T 6P2,66,81,50
