postal_code,walk_score,bike_score,transit_score
M5A 0M4,87,10,10
M4V 0A1,81,81,83
M2J 0E1,54,50,65
M1G 3G6,29,49,56
M4W 3Z4,99,85,90
M2N 6Y7,90,58,88
M1W 3W2,62,54,66
M5A 0S8,87,99,89
M4W 0A8,98,90,91
M2J 1M2,51,44,79
M4M 0A9,79,98,84
M5A 3R3,88,99,89
M2M 4M7,78,62,98
M5V 3V9,85,75,10
M2J 0A9,78,61,80
M5E 1E1,98,92,10
M6E 0A1,81,60,83
M4S 0B1,92,68,86
M4Y 0C9,98,98,90
M5H 0B1,99,93,10
M5V 0R3,97,99,10
M5V 2J5,98,97,10
M5A 0B9,87,99,89
M5V 4A2,59,98,94
M5V 0P5,99,95,10
M8V 0H9,50,71,64
M5G 1S9,98,98,10
M5J 0B5,88,74,10
M4Y 0B6,98,98,90
M9V 5E7,36,36,63
M1W 3J6,44,46,70
M6B 2V4,55,57,84
M5B 0A5,98,96,97
M5J 2Y5,85,84,10
M5V 0G9,97,99,10
M5G 2R2,98,94,97
M2K 0C4,55,59,69
M5S 0A6,98,93,93
M9V 1L3,53,53,65
M2R 1P4,41,51,73
M9C 4X1,54,49,47
M6H 3X8,84,76,78
M8V 0G2,68,86,65
M1E 5K6,54,41,73
M9B 0B2,55,56,66
M4T 2C7,59,73,78
M9R 1T4,54,50,64
M5J 3A1,89,87,10
M2M 4J3,80,62,98
M1X 1T5,12,36,76
M6S 5B5,41,89,62
M2R 3K1,72,59,65
M5V 0E6,83,91,98
M6K 0C8,75,55,92
M5V 3Z7,85,95,99
M5V 3V2,90,73,10
M4J 3M4,59,87,70
M5V 3P6,97,95,10
M2N 0A9,93,50,89
M1B 0A1,65,39,68
M5V 0L4,98,75,10
M4P 0C1,98,59,91
M6K 3S4,87,67,95
M6N 4C2,54,42,64
M5A 3P1,78,75,89
M2J 0A6,31,58,75
M2R 3T2,29,71,67
M5J 2L1,77,82,10
M6S 4H8,70,53,76
M8V 4B2,33,71,64
M1E 2Z4,45,41,64
M5A 2M5,98,98,10
M9W 2G2,56,45,58
M1L 3T8,65,65,82
M2K 0E4,55,59,69
M1V 1L5,48,73,64
M4Y 0B9,99,91,94
M6K 0A5,89,83,93
