postal_code,walk_score,bike_score,transit_score
V6J 2B3,93,98,76
V6E 4V3,93,59,10
V6Z 0G5,90,84,94
V6A 0C5,90,93,10
,N/A,N/A,N/A
V6K 1S1,95,93,76
V5R 6H6,77,76,84
V5Z 3W8,61,78,75
V6J 0C5,90,95,75
V5L 2N6,91,94,72
V5X 1S8,49,49,59
V5X 0E2,78,83,79
V5R 4R7,70,80,87
V6A 0E9,91,97,10
V6B 6P6,99,69,10
V5Z 1L9,85,80,85
V6R 3G7,86,93,69
V5N 0E5,80,87,85
V6S 0L3,9,56,54
V5P 3S6,58,57,63
V6N 2G2,56,88,59
V6Z 3A9,94,86,98
V5S 3T9,16,43,47
V6G 1B3,90,92,75
V6Z 2B9,92,92,97
V6E 1P9,91,88,89
V5V 3V9,86,92,59
V6A 4H2,92,10,10
V6B 1T2,98,93,10
V6B 2Y5,96,70,10
V5N 5G2,64,87,74
V6R 4R2,89,89,74
V6G 1S6,94,92,88
V6B 6J6,98,85,10
V5N 4P9,86,82,91
V5R 2R5,79,82,85
V5X 2J4,73,82,78
V6E 4P5,95,69,10
V5N 2P6,80,87,78
V6E 1S2,88,83,88
V6T 1P4,9,47,65
V5L 2B1,89,90,74
V6H 1P7,80,87,78
V5L 4H4,93,63,77
V6Z 3G2,93,91,96
V6Z 2S1,99,92,10
V6E 1T7,81,79,83
V6M 4H6,N/A,N/A,N/A
V6B 0J2,97,97,10
V6S 0A9,65,N/A,64
V6E 2B1,96,75,10
V5R 5R4,63,72,84
V6B 0H1,97,89,10
V6B 0E4,10,69,10
V5M 4C5,67,55,76
V5T 2L4,85,84,82
V5R 3K4,59,76,69
V6Z 2S8,98,91,10
V5K 3E1,72,84,53
V6A 1K2,96,99,10
V5X 1Z6,58,73,71
V5T 0G3,92,75,10
V5M 1Y4,62,76,75
V5R 0G6,76,62,84
V6B 2R9,98,83,10
V6Z 2W4,90,87,10
V6E 4V2,97,85,10
V5R 3S2,74,74,81
V6Z 0E7,93,84,10
V5R 5P9,58,81,85
V5S 1N9,70,64,50
V5R 2P5,72,78,83
V6B 1R1,97,99,10
V5S 0H7,63,57,52
V5N 3Y9,80,87,78
V6P 3H1,61,83,75
V6A 1V7,80,98,81
V6K 4W2,89,98,75
V5W 2N2,74,99,67
V6Z 3E3,92,84,97
V6B 0M2,95,69,99
V6P 6Y8,86,93,57
V5R 3C1,63,73,67
V5P 2M6,51,56,62
V6S 0B7,13,64,55
V5T 0A2,95,64,80
V6P 6Z5,32,58,67
V6T 2H1,40,88,67
V6H 4H6,97,63,80
V6A 4E1,92,10,10
V5Z 1E5,86,77,86
V6R 1X3,62,86,65
V5T 4H3,74,80,89
V5T 0G9,93,88,89
V6H 3W2,94,93,84
V6E 4N2,92,53,10
V5T 2K9,88,90,78
V6A 0E7,90,94,95
V5Z 0C8,76,90,75
V6C 3R5,87,84,10
V5N 1E1,95,90,79
V5X 0J4,44,47,60
V5M 1V6,56,59,76
V6E 4R8,92,53,10
V6A 4H6,93,88,10
V6H 4J5,85,74,85
V6E 4N5,95,59,10
V5R 6E7,80,73,86
V6C 3T3,99,81,10
V5Z 1B5,92,64,86
V6Z 2X4,98,91,10
V5P 2L7,53,57,62
V6T 0A7,57,97,69
V6G 3H3,89,94,82
V6Z 2Z2,93,86,10
V6L 1W4,55,77,54
V5T 0C8,92,88,76
V5Y 3B8,85,95,75
V6E 3W2,90,80,90
V5Y 2R2,65,88,78
V5M 1H5,71,77,71
V5T 4R6,85,56,91
V6L 2T9,57,83,55
V6B 1G2,99,84,10
V6G 1J8,96,69,93
V5R 6H3,81,75,85
V5K 5H7,46,80,69
V6P 3E7,73,82,58
V5N 1B3,91,85,76
V6E 0B1,98,91,10
V6Z 3G6,96,84,10
V5W 1H5,54,93,63
V6G 3K1,91,81,10
V5N 4G2,78,88,80
V6B 5W4,98,81,10
V6Z 3E8,86,86,94
V6B 0H2,10,84,10
V5L 3W4,91,87,73
V5S 0E2,16,35,49
V6G 0A7,96,84,98
V6B 0P4,94,74,10
V6H 1A5,92,74,83
V5Z 1E4,86,81,86
V6K 1R5,86,97,71
V6J 2K2,81,98,72
V6C 3R1,87,84,10
V6E 4R9,93,59,10
V5T 0H6,89,97,81
V6C 0B2,93,68,10
V5N 4J1,72,82,79
V0V 0V0,0,11,N/A
V6J 2K9,80,96,72
V6G 0A7,93,81,98
V6B 0C1,97,96,10
V5M 2N8,73,66,79
V6G 2Z1,93,97,76
V6B 0L2,99,72,10
V6B 1K3,98,89,10
V5T 3V9,94,99,79
V5T 1S8,88,93,84
V6T 2K3,66,96,75
V6E 1H3,95,91,10
V5T 3S2,74,80,89
V6B 0C5,97,90,10
V6M 0A1,80,85,62
V6S 1Z4,66,88,57
V5T 4V7,94,93,80
V5Y 0M2,73,10,74
V5R 2Y3,63,69,73
V5X 2A4,43,49,61
V5X 2N4,45,50,60
V5S 4B5,55,57,55
V6M 1R8,88,72,61
V6L 2V3,44,62,55
V5N 1X4,86,10,95
V6K 3W6,93,98,74
V5R 4G6,74,72,86
V6P 0J1,79,89,56
V5M 0G2,72,71,82
V6B 1E6,98,89,10
