price,address,postal_code,full_bed,half_bed,full_bath,half_bath,property_area,property_type
399999,1206 - 170 BAYVIEW AVE,M5A 0M4,1.0,,1.0,,,condo
899900,406 - 155 ST CLAIR AVE W,M4V 0A1,2.0,,1.0,,,condo
2300,1911 - 55 ANN O'REILLY RD,M2J 0E1,2.0,,2.0,,,
610888,64 ORTON PARK RD,M1G 3G6,4.0,,3.0,,,house
2280,318 - 825 CHURCH ST,M4W 3Z4,1.0,1.0,1.0,,,
699000,908 - 33 EMPRESS AVE,M2N 6Y7,2.0,,2.0,,,condo
590000,531 - 25 BAMBURGH CIR,M1W 3W2,2.0,1.0,2.0,,,condo
2650,1011 - 60 TANNERY RD,M5A 0S8,2.0,,2.0,,,
4500,7402 - 1 BLOOR ST E,M4W 0A8,3.0,,2.0,,,
485000,303 - 20 FOREST MANOR RD,M2J 1M2,2.0,,1.0,,,condo
564900,20 - 150 BROADVIEW AVE,M4M 0A9,1.0,,1.0,,,townhouse
1800,1506 - 33 MILL ST,M5A 3R3,1.0,,1.0,,,
2380,311 - 15 GREENVIEW AVE,M2M 4M7,2.0,,2.0,,,
3700,1212 - 35 MARINER TERR,M5V 3V9,3.0,,2.0,,,
1950,511 - 70 FOREST MANOR RD,M2J 0A9,2.0,,1.0,,,
1900,2502 - 8 COLBORNE ST,M5E 1E1,1.0,,1.0,,,
1900,201 - 1603 EGLINTON AVE W,M6E 0A1,1.0,,1.0,,,
1895,1626 - 5 SOUDAN AVE,M4S 0B1,2.0,,1.0,,,
1725,2410 - 403 CHURCH ST,M4Y 0C9,1.0,,1.0,,,
1950,1507 - 70 TEMPERANCE ST,M5H 0B1,2.0,,1.0,,,
2750,404 - 501 ADELAIDE ST W,M5V 0R3,1.0,,1.0,,,
530000,406 - 25 OXLEY ST,M5V 2J5,1.0,,1.0,,,condo
1890,1301 - 225 SACKVILLE ST,M5A 0B9,1.0,,1.0,,,
2180,2812 - 215 FORT YORK BLVD,M5V 4A2,2.0,,1.0,,,
458888,709 - 215 QUEEN ST W,M5V 0P5,0.0,,1.0,,,condo
2150,10 PARK LAWN RD,M8V 0H9,1.0,,1.0,,,
2250,901 - 426 UNIVERSITY AVE,M5G 1S9,2.0,,1.0,,,
1850,5001 - 100 HARBOUR ST,M5J 0B5,1.0,,1.0,,,
2100,4806 - 5 SAINT JOSEPH ST,M4Y 0B6,1.0,,1.0,,,
